cust_id,cust_fname,cust_lname,cust_order,cust_status
1,john,doe,5,active
2,jane,smith,8,active
3,micheal,jhonson,3,inactive
4,abhi,wiliams,1,active
5,ram,brown,4,inactive
6,emily,anderson,2,active
7,william,jones,10,active
8,susan,davis,7,inactive
9,david,miller,9,active
10,sara,moore,2,inactive
11,james,tailor,5,inactive
12,olivia,wilson,3,inactive
13,robert,evans,11,active
14,emma,thomas,29,active
15,mathew,haris,5,inactive
16,isabella,white,6,inactive
17,joseph,martin,4,inactive
18,grace,lee,5,active
19,chrisopher,basa,8,inactive
20,ava,joesph,3,active
